Drug class,drug_raw_name,treated_disease,description,side_effects,Dosage form,availability,score,reviews,drug_name
['Atypical antipsychotics'],aripiprazole,Menstruation Disturbances,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Mental Disorders,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Obesity,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,"Psychoses, Substance-Induced",Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Schizophrenia,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Paranoid Schizophrenia,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Stereotypic Movement Disorder,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Tic Disorder,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,Gilles De La Tourette Syndrome,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,abilify
['Atypical antipsychotics'],aripiprazole,"Alcoholic Intoxication, Chronic",Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
['Atypical antipsychotics'],aripiprazole,Anxiety Disorders,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
['Atypical antipsychotics'],aripiprazole,Asperger Syndrome,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
['Atypical antipsychotics'],aripiprazole,Attention Deficit Hyperactivity Disorder,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
['Atypical antipsychotics'],aripiprazole,Autistic Disorder,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
['Atypical antipsychotics'],aripiprazole,Bipolar Disorder,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",extended-release intramuscular injection,Prescription only,61.5,49.0,abilify maintena
